City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Pimentel,PE,2021-07-28 17:57:24,-6.8367,-79.9342,70.09,78,75,7.0
108,Ribeira Grande,PT,2021-07-28 17:57:25,38.5167,-28.7,77.4,65,40,13.8
109,Agadez,NE,2021-07-28 17:57:26,19.75,10.25,98.76,21,69,9.28
110,Riyadh,SA,2021-07-28 17:57:27,24.6877,46.7219,105.94,11,89,9.86
111,Comodoro Rivadavia,AR,2021-07-28 17:57:29,-45.8667,-67.5,55.26,62,0,4.61
112,Kavaratti,IN,2021-07-28 17:57:29,10.5669,72.642,82.18,79,100,15.59
113,Pucallpa,PE,2021-07-28 17:57:30,-8.3791,-74.5539,87.84,62,40,4.61
114,Marovoay,MG,2021-07-28 17:57:31,-16.1,46.6333,73.54,51,5,2.06
115,Manali,IN,2021-07-28 17:57:32,13.1667,80.2667,87.89,53,100,10.33
116,Olafsvik,IS,2021-07-28 17:57:32,64.8945,-23.7142,53.65,84,94,14.36
117,Vestmannaeyjar,IS,2021-07-28 17:57:32,63.4427,-20.2734,58.19,77,40,10.36
118,Castro,BR,2021-07-28 17:57:33,-24.7911,-50.0119,51.85,39,45,10.83
119,Najran,SA,2021-07-28 17:57:33,17.4924,44.1277,95.65,38,91,8.5
120,Mahebourg,MU,2021-07-28 17:57:33,-20.4081,57.7,70.09,83,75,18.41
121,Sundargarh,IN,2021-07-28 17:57:34,22.1167,84.0333,75.76,91,100,11.74
122,Bubaque,GW,2021-07-28 17:57:34,11.2833,-15.8333,78.57,86,100,22.01
123,Goderich,CA,2021-07-28 17:57:35,43.7501,-81.7165,78.21,78,0,9.22
124,Vardo,NO,2021-07-28 17:57:35,70.3705,31.1107,46.6,93,75,6.91
125,Effium,NG,2021-07-28 17:57:35,6.6292,8.0593,78.75,68,92,4.83
126,Gat,IL,2021-07-28 17:57:36,31.61,34.7642,83.8,100,0,4.72
127,Bilma,NE,2021-07-28 17:57:36,18.6853,12.9164,98.22,27,100,10.78
128,Tabou,CI,2021-07-28 17:57:37,4.423,-7.3528,78.39,71,100,6.22
